性格診断チャート
decision

設問ID,最終フラグ,設問文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,遷移先1,遷移先2,遷移先3,遷移先4,遷移先5
1,0,人との関わり方について最も当てはまるのは？,大勢と過ごすのが好き,少数の親しい人と過ごすのが好き,一人の時間を大切にする,,,2,3,4,,
2,0,大勢の人と一緒にいる時のあなたは？,話の中心になる,みんなの話を聞く,場を盛り上げる,,,5,6,7,,
3,0,親しい友人との時間で大切にするのは？,深い話をする,一緒に何かする,お互いを理解する,,,8,9,10,,
4,0,一人の時間をどう過ごしますか？,考え事をする,趣味に没頭する,リラックスする,,,11,12,13,,
5,0,新しいことに取り組む時は？,計画を立ててから始める,まず行動してみる,他の人の意見を聞く,,,14,15,16,,
6,0,困った時にまず何をしますか？,自分で解決策を考える,信頼できる人に相談する,情報を集める,,,17,18,19,,
7,0,グループ活動では？,リーダーシップをとる,サポート役に回る,アイデアを提案する,,,20,21,22,,
8,0,物事を決める時に重視するのは？,論理的な根拠,直感や感情,過去の経験,,,23,24,25,,
9,0,新しい環境に対して？,積極的に適応する,慎重に様子を見る,自分のペースで慣れる,,,26,27,28,,
10,0,ストレスを感じた時は？,原因を分析する,感情を表に出す,一人で整理する,,,29,30,31,,
11,0,目標に向かう時のスタイルは？,着実に段階を踏む,直感的に進む,柔軟に調整する,,,32,33,34,,
12,0,創作や表現活動では？,独創性を重視する,技術を磨く,他者との協働を大切にする,,,35,36,37,,
13,0,学習や成長について？,体系的に学ぶ,実践を通じて学ぶ,他者から学ぶ,,,38,39,40,,
14,1,計画的なあなたが最も大切にするのは？,効率性,完璧性,安定性,,,1,2,3,,
15,1,行動派のあなたが重視するのは？,スピード,チャレンジ,結果,,,4,5,6,,
16,1,協調性を重視するあなたの強みは？,チームワーク,コミュニケーション,サポート力,,,7,8,9,,
17,1,問題解決能力の高いあなたの特徴は？,論理思考,創造力,持続力,,,10,11,12,,
18,1,相談上手なあなたが大切にするのは？,共感力,傾聴力,助言力,,,13,14,15,,
19,1,情報収集力の高いあなたの長所は？,分析力,好奇心,判断力,,,16,17,18,,
20,1,リーダータイプのあなたの価値観は？,責任感,決断力,影響力,,,19,20,21,,
21,1,サポータータイプのあなたの魅力は？,思いやり,協力性,安定感,,,22,23,24,,
22,1,アイデア豊富なあなたの原動力は？,想像力,好奇心,表現力,,,25,26,27,,
23,1,論理派のあなたが追求するのは？,真実,効率,システム,,,28,29,30,,
24,1,感情派のあなたが重視するのは？,人間関係,価値観,体験,,,31,32,33,,
25,1,経験派のあなたの信念は？,実践主義,伝統,安全性,,,34,35,36,,
26,1,適応力の高いあなたの特質は？,柔軟性,学習力,バランス感覚,,,37,38,39,,
27,1,慎重派のあなたが大切にするのは？,安全性,確実性,信頼性,,,40,41,42,,
28,1,マイペースなあなたの魅力は？,独立性,集中力,創造性,,,43,44,45,,
29,1,分析的なあなたの強みは？,客観性,洞察力,問題解決力,,,46,47,48,,
30,1,表現力豊かなあなたの特徴は？,感受性,コミュニケーション力,影響力,,,49,50,51,,
31,1,内省的なあなたが追求するのは？,自己理解,深い思考,精神的成長,,,52,53,54,,
32,1,継続力のあるあなたの価値観は？,忍耐力,責任感,目標達成,,,55,56,57,,
33,1,直感的なあなたの原動力は？,ひらめき,感性,可能性,,,58,59,60,,
34,1,調整力のあるあなたの長所は？,バランス感覚,協調性,臨機応変,,,61,62,63,,
35,1,独創的なあなたが重視するのは？,オリジナリティ,芸術性,自己表現,,,64,65,66,,
36,1,技術派のあなたの追求するものは？,専門性,品質,完成度,,,67,68,69,,
37,1,協働派のあなたが大切にするのは？,チームワーク,相互支援,共同目標,,,70,71,72,,
38,1,理論派のあなたの特徴は？,体系性,論理性,知識,,,73,74,75,,
39,1,実践派のあなたの強みは？,行動力,現実性,成果,,,76,77,78,,
40,1,学習派のあなたが重視するのは？,成長,知識,理解,,,79,80,81,,

診断結果ID,ポイント下限,ポイント上限,表示文章
1,,,あなたは「効率重視の計画者」タイプです。物事を体系的に整理し、最も効率的な方法で目標を達成することを重視します。時間管理が得意で、無駄を嫌います。
2,,,あなたは「完璧主義の計画者」タイプです。詳細まで綿密に計画を立て、完璧な結果を求めます。品質と正確性を何よりも重視します。
3,,,あなたは「安定志向の計画者」タイプです。リスクを避け、確実で安全な方法を選びます。変化よりも継続性と安定性を重視します。
4,,,あなたは「スピード重視の行動派」タイプです。素早い判断と迅速な行動が得意です。機会を逃すことを嫌い、常に前進し続けます。
5,,,あなたは「チャレンジ精神の行動派」タイプです。新しいことや困難なことに積極的に取り組みます。冒険と成長を求め続けます。
6,,,あなたは「結果重視の行動派」タイプです。目標達成に向けて集中し、具体的な成果を出すことに重点を置きます。
7,,,あなたは「チームワーク重視の協調派」タイプです。グループの調和を大切にし、皆で協力して物事を進めることを好みます。
8,,,あなたは「コミュニケーション重視の協調派」タイプです。人との対話を通じて理解を深め、関係を築くことが得意です。
9,,,あなたは「サポート重視の協調派」タイプです。他者を支援し、困っている人を助けることに喜びを感じます。
10,,,あなたは「論理思考の問題解決者」タイプです。データと根拠に基づいて冷静に分析し、合理的な解決策を見つけます。
11,,,あなたは「創造的な問題解決者」タイプです。既存の枠にとらわれない発想で、革新的な解決策を生み出します。
12,,,あなたは「持続力のある問題解決者」タイプです。困難な課題にも諦めずに取り組み、粘り強く解決まで導きます。
13,,,あなたは「共感力の高い相談者」タイプです。相手の気持ちを深く理解し、心に寄り添うことができます。
14,,,あなたは「傾聴力の高い相談者」タイプです。相手の話をじっくりと聞き、本当に必要なサポートを提供します。
15,,,あなたは「助言力のある相談者」タイプです。経験と知識を活かして、的確なアドバイスを与えることができます。
16,,,あなたは「分析力の高い情報通」タイプです。複雑な情報を整理し、本質を見極める能力に長けています。
17,,,あなたは「好奇心旺盛な情報通」タイプです。新しい知識や情報に敏感で、常に学び続けることを楽しみます。
18,,,あなたは「判断力の優れた情報通」タイプです。豊富な情報を基に、適切で迅速な判断を下すことができます。
19,,,あなたは「責任感の強いリーダー」タイプです。自分の役割を全うし、チーム全体に対して責任を持って行動します。
20,,,あなたは「決断力のあるリーダー」タイプです。困難な状況でも迷わず決断し、チームを正しい方向に導きます。
21,,,あなたは「影響力のあるリーダー」タイプです。周囲の人を巻き込み、共通の目標に向けて団結させる力があります。
22,,,あなたは「思いやり深いサポーター」タイプです。他者の気持ちを大切にし、温かい支援を提供します。
23,,,あなたは「協力的なサポーター」タイプです。チーム全体の成功を願い、積極的に協力してサポートします。
24,,,あなたは「安定感のあるサポーター」タイプです。周囲に安心感を与え、信頼できる存在として頼りにされます。
25,,,あなたは「想像力豊かなクリエイター」タイプです。無限の創造力で新しいアイデアや作品を生み出します。
26,,,あなたは「好奇心に満ちたクリエイター」タイプです。様々なことに興味を持ち、新しい発見や表現を追求します。
27,,,あなたは「表現力豊かなクリエイター」タイプです。自分の考えや感情を独創的な方法で表現することができます。
28,,,あなたは「真実追求の論理派」タイプです。事実と論理に基づいて物事を判断し、真実を見極めようとします。
29,,,あなたは「効率追求の論理派」タイプです。最も合理的で効率的な方法を常に模索し、無駄を排除します。
30,,,あなたは「システム思考の論理派」タイプです。全体を俯瞰し、各要素の関係性を理解して体系的に考えます。
31,,,あなたは「人間関係重視の感情派」タイプです。人とのつながりを最も大切にし、深い絆を築くことを重視します。
32,,,あなたは「価値観重視の感情派」タイプです。自分の信念と価値観に従って行動し、意味のある人生を追求します。
33,,,あなたは「体験重視の感情派」タイプです。様々な経験を通じて感情を豊かにし、人生を充実させます。
34,,,あなたは「実践重視の経験派」タイプです。理論よりも実際の経験を重視し、行動から学ぶことを好みます。
35,,,あなたは「伝統重視の経験派」タイプです。過去の知恵と伝統を尊重し、それらを大切に守り継承します。
36,,,あなたは「安全重視の経験派」タイプです。リスクを慎重に評価し、安全で確実な選択を心がけます。
