キャリア適性診断（分岐型）
decision

設問ID,最終フラグ,カテゴリ,設問文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,遷移先1,遷移先2,遷移先3,遷移先4,遷移先5
1,0,キャリア,あなたはどのような働き方を好みますか？,チームで協力して働く,一人で集中して働く,人と接する仕事をしたい,創作活動に取り組みたい,,2,3,4,5,
2,0,チーム,チーム内での役割で最も得意なのは？,リーダーシップを発揮,メンバーをサポート,アイデアを提案,調整・まとめ役,,6,7,8,9,
3,0,個人,個人作業で重視することは？,効率性と速度,品質と完璧性,創造性と独創性,専門性と深さ,,10,11,12,13,
4,0,対人,人との関わりで重要視するのは？,コミュニケーション,教育・指導,カウンセリング,営業・販売,,14,15,16,17,
5,0,創作,創作活動で大切にするのは？,芸術性と美しさ,実用性と機能性,革新性と新しさ,技術的な精度,,18,19,20,21,
6,1,リーダー,リーダーとしての強みは？,戦略的思考,人望と信頼,決断力,コミュニケーション力,,1,2,3,4,
7,1,サポート,サポート役での得意分野は？,事務・管理業務,技術的サポート,メンタルサポート,プロジェクト支援,,5,6,7,8,
8,1,企画,アイデア提案での強みは？,新規事業企画,商品・サービス企画,マーケティング企画,システム・IT企画,,9,10,11,12,
9,1,調整,調整役としての特徴は？,社内調整,対外折衝,プロセス管理,品質管理,,13,14,15,16,
10,1,効率,効率重視の仕事スタイルは？,業務改善・最適化,データ分析,オペレーション管理,コスト管理,,17,18,19,20,
11,1,品質,品質重視での適性分野は？,品質保証・管理,研究開発,技術指導,監査・検査,,21,22,23,24,
12,1,創造,創造性を活かせる分野は？,デザイン・広告,商品開発,コンテンツ制作,アート・表現,,25,26,27,28,
13,1,専門,専門性を活かせる領域は？,技術エキスパート,専門コンサルタント,研究者,スペシャリスト,,29,30,31,32,
14,1,コミュニケーション,コミュニケーション力を活かすなら？,営業・販売,広報・PR,接客・サービス,社内コミュニケーション,,33,34,35,36,
15,1,教育,教育・指導での適性は？,企業研修,専門技術指導,人材育成,メンタリング,,37,38,39,40,
16,1,カウンセリング,カウンセリング分野での強みは？,キャリアカウンセリング,メンタルヘルス,人間関係相談,ライフコーチング,,41,42,43,44,
17,1,営業,営業・販売での得意領域は？,法人営業,個人営業,技術営業,海外営業,,45,46,47,48,
18,1,芸術,芸術性重視の分野は？,グラフィックデザイン,空間デザイン,映像・音響,ファッション,,49,50,51,52,
19,1,実用,実用性重視の創作分野は？,UI/UXデザイン,プロダクトデザイン,建築・設計,エンジニアリング,,53,54,55,56,
20,1,革新,革新性を活かせる分野は？,新規事業,スタートアップ,R&D,イノベーション推進,,57,58,59,60,
21,1,技術,技術的精度を活かすなら？,システム開発,製造技術,精密機器,科学技術,,61,62,63,64,

診断結果ID,カテゴリ,ポイント下限,ポイント上限,表示文章
1,,,,あなたは「戦略的リーダー型」です。論理的思考と戦略的な視点でチームを導き、組織全体の目標達成に貢献することが得意です。経営企画、事業統括、戦略コンサルティングなどの分野に適性があります。
2,,,,あなたは「人望型リーダー」です。信頼関係を築き、人の心を動かすリーダーシップが得意です。組織運営、人事管理、チームマネジメントなどの分野で力を発揮できます。
3,,,,あなたは「決断型リーダー」です。迅速で的確な判断力を持ち、困難な状況でも冷静に決断できます。危機管理、プロジェクトマネジメント、現場指揮などに向いています。
4,,,,あなたは「コミュニケーション型リーダー」です。優れた対話力で関係者を巻き込み、協力を得るのが得意です。営業管理、顧客関係管理、パートナーシップ構築などが適職です。
5,,,,あなたは「事務管理スペシャリスト」です。正確性と効率性を重視し、組織の基盤を支える業務が得意です。総務、経理、人事、法務などのバックオフィス業務に適性があります。
6,,,,あなたは「技術サポートエキスパート」です。専門知識を活かして他者を支援することが得意です。ITサポート、技術指導、システム運用などの分野で力を発揮できます。
7,,,,あなたは「メンタルサポーター」です。人の心に寄り添い、精神的な支援を提供することが得意です。カウンセリング、メンタルヘルス、福利厚生などの分野に向いています。
8,,,,あなたは「プロジェクトサポーター」です。プロジェクトの円滑な進行を支える調整業務が得意です。プロジェクトアシスタント、事務局運営、進行管理などが適職です。
9,,,,あなたは「新規事業プランナー」です。革新的なアイデアで新しいビジネスを創造することが得意です。新規事業開発、事業企画、スタートアップなどの分野に適性があります。
10,,,,あなたは「商品企画スペシャリスト」です。市場ニーズを捉えた魅力的な商品・サービスを企画できます。商品開発、マーケティング、ブランド戦略などが適職です。
11,,,,あなたは「マーケティングプランナー」です。効果的なマーケティング戦略を立案・実行することが得意です。広告企画、プロモーション、市場調査などの分野で力を発揮できます。
12,,,,あなたは「ITソリューションプランナー」です。技術を活用した課題解決策を提案することが得意です。システム企画、DX推進、IT戦略などの分野に向いています。
13,,,,あなたは「社内コーディネーター」です。部門間の調整や社内の円滑な連携を実現することが得意です。経営企画、総務、人事などの調整業務に適性があります。
14,,,,あなたは「対外折衝エキスパート」です。外部との交渉や関係構築を得意とします。営業、調達、パートナーシップ、渉外などの分野で力を発揮できます。
15,,,,あなたは「プロセス管理スペシャリスト」です。業務プロセスの最適化と管理が得意です。業務改善、品質管理、オペレーション設計などが適職です。
16,,,,あなたは「品質管理エキスパート」です。高い品質基準の維持と改善を実現することが得意です。品質保証、監査、コンプライアンスなどの分野に向いています。
17,,,,あなたは「業務改善コンサルタント」です。効率性を追求した業務最適化が得意です。業務コンサルティング、プロセス改善、生産性向上などの分野で力を発揮できます。
18,,,,あなたは「データアナリスト」です。データ分析を通じて価値ある洞察を提供することが得意です。ビジネス分析、市場調査、統計解析などが適職です。
